x to 2.JPG,y to 2.JPG
1133.11,605.041
3359.86,756.181
135.846,2517.87
2294.85,2427.87
1917.68,892.574
2506.96,2714.54
1127.03,334.007
1141.07,489.198
3249.48,1130.2
1995.14,1157.62
3223.49,883.105
198.185,1618.32
2595.41,2847.06
3918.57,795.896
1699.58,308.963
1816.11,62.1251
610.035,1963.09
1190.33,1462.51
3190.78,460.88
2730.49,2327.84
3876.02,714.053
1153.54,468.442
1168.08,655.174
229.472,1601.79
1659.82,78.6022
1594.37,1685.78
1789.93,2068.79
3242.35,802.594
175.579,1911.93
1192.18,829.572
2494.27,634.117
1197.05,863.328
1180.34,596.341
538.783,765
1502.81,2678.06
2251.99,2554.17
1186.3,626.308
1203.63,832.178
1080.8,1356.63
1212.03,932.271
2467.41,782.27
91.4298,2094.95
1905.81,542.48
566.984,1491.5
3249.91,1442.61
1909.14,2736.53
1078.92,1636
2519.05,2511.18
2828.83,2919.08
1603.5,121.777
1257.56,939.373
924.156,2565.05
2009.29,998.749
58.4565,1956.01
1077.8,2980.32
468.818,475.867
931.61,2978.6
1247.09,1134.04
1435.22,2157.56
1791.02,2735.06
1227.43,790.841
225.218,2924.03
1772.19,1911.53
3676.27,1330.06
2720.32,1112.9
1238,876.277
2325.85,592.161
2305.98,244.955
750.528,2094.92
944.938,1567.47
1311.69,1750.01
909.169,1871.76
2543,2148.81
2110.72,970.522
1774.27,1503.09
3788.9,1532.93
718.456,1914.99
1528.92,1060.67
1244.07,919.271
1244.07,919.271
3669.31,1498.05
2176.99,1436.95
1163.38,1657.43
117.789,1792.34
2083.19,2860.31
2086.63,2858.53
727.065,1646.83
1531.66,791.374
710.68,841.528
1609.02,2096.96
2426.52,833.659
1267.3,973.317
1247.15,1416.12
3278.94,2680.88
2107.68,202.123
3096.78,2870.25
232.836,1105.87
2803.92,2893.76
3882.1,852.125
1894.82,2881.18
1272.8,972.218
761.854,1523.11
3522.69,9.82156
704.796,298.124
1276.39,978.607
1276.39,978.607
1800.27,1949.97
997.028,1309.34
1251.95,2021.44
2974.58,2917.62
1715.72,2474.41
1715.72,2474.41
143.163,212.635
386.091,221.967
1075.51,2085.29
1277.44,736.838
1284.58,860.482
1288.55,918.922
648.788,1771.37
1289.94,934.848
1287.33,851.186
2256.09,842.403
42.5335,1831.88
1782.77,1997.98
2902.11,2533.87
1691,1377.6
1291.25,859.422
1799.4,1412.42
1382.66,1712.08
2623.9,1327.32
2080.76,2444.49
2746.24,1380.1
1780.02,1937.49
1947.7,1975.09
2328.93,735.216
3453.67,205.768
1311.41,936.027
2590.02,2137.88
705.8,1186.69
1382.54,1705.59
1311.83,931.183
211.709,2438.6
915.608,856.327
76.1633,2524.66
21.0529,1454
3460.7,481.315
1631.19,2692.31
1322.03,921.609
1713.04,62.3038
950.922,2379.03
2123.99,683.583
932.993,2005.08
1328.43,922.807
3396.2,191.587
3959.58,10.0355
1491.87,2277.9
2953.74,2446.18
1330.57,926.653
3091.48,1051.74
1333.53,921.346
1118.31,2750.06
1334.77,910.025
1335.79,913.835
1410.57,1806.33
122.152,1776.61
3456.56,2652.72
1335.57,682.936
3993.12,1644.45
1722.94,300.802
2325.85,592.161
1799.4,1402.95
1286.42,1561.89
999.598,1778.04
2219.44,425.272
1352.7,912.642
1770.41,1893.08
1770.41,1893.08
694.095,1676.62
2751.84,1641.83
3568.2,1342.47
1359.26,959.244
2197.58,867.966
1353.22,685.31
1352.61,689.295
1227.96,1390.59
2354.61,2591.53
1794.77,1588.66
2246.98,795.551
1366.77,981.795
1366.77,981.795
1788.4,1883.52
3073.05,1281.37
1883.95,1947.96
1282.7,1756.88
1884.81,2369.29
1356.09,2877.54
1760.32,2963.27
1370.3,891.936
1374.36,987.831
196.872,453.635
1135.77,1595.66
1373.02,913.743
1288.72,2458.53
2109.47,828.647
1693.98,2155.05
1441.08,1334.09
1693.98,2155.05
1693.98,2155.05
370.108,1502.88
795.74,1058.25
2154.97,752.698
1665.66,2917.56
1355.56,202.203
1779.74,2699.23
1382.14,742.347
1014.76,2550.54
3091.65,1070.91
1383.12,745.078
1909.47,1751.47
1771.24,1295.12
1113.86,2725.67
1414.03,1876.5
1438.47,2174.62
1392.02,1201.61
718.456,1914.99
3263.02,947.13
1121.61,1230.67
3056.84,1311.65
1408.22,998.885
1932.21,1458.49
1378.36,157.949
2981.99,738.885
246.829,2215.52
2857.81,2184.32
1382.85,177.677
1382.85,177.677
1192.26,1239.75
3339.64,777.475
1288.88,1741.66
1895.85,2612.13
1054.34,166.102
1517.2,1979.93
1284.89,1741.8
478.979,1280.03
1396.82,190.202
335.15,2430.33
1422.73,913.601
3136.32,1547.69
981.182,332.078
2821.35,2059.34
2430.6,761.934
1948.02,1889.09
1433.13,914.39
1409.92,210.551
2377.58,2845.06
1428.7,624.805
1538.57,2335.99
2092.61,1101.47
803.961,471.197
1439.1,792.827
75.3543,2412.29
1442.29,908.074
2066.33,2464.58
2066.33,2464.58
1444.57,856.75
1446.2,850.572
563.282,2734.65
1638.56,99.3509
1980.55,2429.54
1782.14,1928.99
3137.42,955.568
1391.59,2207.62
1782.14,1928.99
2367.53,437.406
275.656,283.899
2404.7,927.577
2180.34,2205.7
2458.56,2769.02
1462.51,878.126
1555.28,1766.11
1263.18,1719.8
1137.09,1234.92
2071.56,2387.66
94.3128,495.946
1310.52,1329.32
1341.73,2705.48
643.585,2149.48
1595.35,2639.26
1794.96,2798.2
1488.3,1626.05
1980.55,2429.54
1472.62,658.043
1477.41,662.046
1477.18,657.423
284.416,2662.79
851.296,1804.49
798.027,2197.99
280.772,2729.6
1771.41,1602.85
896.844,1561.59
3027.85,1168.3
1767.37,1605.97
1263.18,1719.8
902.658,1679.21
902.658,1679.21
2398.46,1225.98
611.965,1239.12
1811.91,172.23
1277.25,1966
1712.67,1845.37
1133.99,1199.75
1347.65,2091.52
1379.13,1308.98
1986.92,1763.21
1498.62,925.995
1995.88,2211.85
3525.46,22.4503
107.96,2969.88
1622.08,2606.95
1791.19,1591.05
1827.84,1410.49
1321.18,2042.89
1594.93,1372.47
1719.22,2148.54
1507.14,879.615
1365.43,1181.38
1992.97,689.715
1460.08,2693.14
905.188,1391.31
1530.95,2065.18
1779.74,2699.23
1616.9,2475
1277.25,1966
2740.17,1625.21
417.5,1517.06
238.84,93.8038
1871.44,1857.12
1610,2185.17
1581.2,2491.45
154.333,539.917
1276.59,1633.94
1871.44,1857.12
504.875,2713.33
1537.46,1836.32
1537.46,1836.32
2667.8,1197.4
1483.25,2450.93
3129.69,2869.58
2498.33,2880.14
1429.75,1572.89
1545.41,2066.19
1712.57,2174.45
2269.67,493.307
1642.13,1448.49
1528.67,877.514
1973.52,1396.55
1946.38,2554.59
1532.38,879.745
224.993,179.734
1336.83,1692.82
1829.73,1950.93
1518.48,19.4004
1537.84,922.029
260.11,1602.94
2180.8,1324.51
1488.95,1131.95
3057.05,2902.64
2099.87,2154.75
1845.01,2235.26
1379.87,2486.96
1414.03,1876.5
1544.35,914.687
294.995,2750.16
2327.91,1238.02
1691.82,371.983
1676.82,2798.33
2505.49,496.594
1892.47,2118.1
1796.41,2007.13
2748.53,1306.52
2170.35,2256.34
1915.58,2548.41
1706.38,2468.91
1556.11,920.688
1556.48,923.746
1258.23,1789.98
1545.3,121.353
3801.08,494.18
2278.67,1334.54
1247.15,1416.12
1247.15,1416.12
726.616,1191.93
1557.83,207.155
1309.79,1666.79
